epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.63664E+12,2021-11-11T15.04.28.269,5.92,0.488,-0.274,-0.335
1.63664E+12,2021-11-11T15.04.28.309,5.96,0.579,-0.274,-0.427
1.63664E+12,2021-11-11T15.04.28.349,6,0.518,-0.244,-0.427
1.63664E+12,2021-11-11T15.04.28.389,6.04,0.671,-0.305,-0.396
1.63664E+12,2021-11-11T15.04.28.429,6.08,0.366,-0.366,-0.396
1.63664E+12,2021-11-11T15.04.28.469,6.12,0.518,-0.274,-0.335
1.63664E+12,2021-11-11T15.04.28.509,6.16,0.579,-0.305,-0.366
1.63664E+12,2021-11-11T15.04.28.549,6.2,0.64,-0.274,-0.335
1.63664E+12,2021-11-11T15.04.28.589,6.24,0.61,-0.335,-0.305
1.63664E+12,2021-11-11T15.04.28.629,6.28,0.488,-0.366,-0.335
1.63664E+12,2021-11-11T15.04.28.669,6.32,0.61,-0.274,-0.396
1.63664E+12,2021-11-11T15.04.28.709,6.36,0.549,-0.213,-0.427
1.63664E+12,2021-11-11T15.04.28.749,6.4,0.396,-0.122,-0.335
1.63664E+12,2021-11-11T15.04.28.789,6.44,0.457,-0.183,-0.396
1.63664E+12,2021-11-11T15.04.28.829,6.48,0.518,-0.305,-0.396
1.63664E+12,2021-11-11T15.04.28.869,6.52,0.549,-0.305,-0.396
1.63664E+12,2021-11-11T15.04.28.909,6.56,0.457,-0.305,-0.396
1.63664E+12,2021-11-11T15.04.28.949,6.6,0.457,-0.213,-0.335
1.63664E+12,2021-11-11T15.04.28.989,6.64,0.457,-0.335,-0.335
1.63664E+12,2021-11-11T15.04.29.029,6.68,0.335,-0.274,-0.396
1.63664E+12,2021-11-11T15.04.29.069,6.72,0.335,0.091,-0.396
1.63664E+12,2021-11-11T15.04.29.109,6.76,0.122,0.091,-0.396
1.63664E+12,2021-11-11T15.04.29.149,6.8,0.213,0.03,-0.396
1.63664E+12,2021-11-11T15.04.29.189,6.84,0.305,-0.091,-0.427
1.63664E+12,2021-11-11T15.04.29.229,6.88,0.183,-0.061,-0.396
1.63664E+12,2021-11-11T15.04.29.269,6.92,0.427,-0.091,-0.427
1.63664E+12,2021-11-11T15.04.29.309,6.96,0.305,-0.061,-0.457
1.63664E+12,2021-11-11T15.04.29.349,7,0.335,-0.091,-0.427
1.63664E+12,2021-11-11T15.04.29.389,7.04,0.305,-0.091,-0.396
1.63664E+12,2021-11-11T15.04.29.429,7.08,0.396,-0.091,-0.396
1.63664E+12,2021-11-11T15.04.29.469,7.12,0.335,-0.122,-0.335
1.63664E+12,2021-11-11T15.04.29.509,7.16,0.152,-0.183,-0.366
1.63664E+12,2021-11-11T15.04.29.549,7.2,0.274,0,-0.396
1.63664E+12,2021-11-11T15.04.29.589,7.24,0.396,-0.03,-0.457
1.63664E+12,2021-11-11T15.04.29.629,7.28,0.305,-0.061,-0.396
1.63664E+12,2021-11-11T15.04.29.669,7.32,0.244,-0.152,-0.427
1.63664E+12,2021-11-11T15.04.29.709,7.36,0.152,-0.122,-0.396
1.63664E+12,2021-11-11T15.04.29.749,7.4,0.244,-0.122,-0.396
1.63664E+12,2021-11-11T15.04.29.789,7.44,0.335,-0.152,-0.396
1.63664E+12,2021-11-11T15.04.29.829,7.48,0.335,-0.091,-0.305
1.63664E+12,2021-11-11T15.04.29.869,7.52,0.427,-0.305,-0.305
1.63664E+12,2021-11-11T15.04.29.909,7.56,0.488,-0.396,-0.366
1.63664E+12,2021-11-11T15.04.29.949,7.6,0.122,-0.061,-0.366
1.63664E+12,2021-11-11T15.04.29.989,7.64,0,-0.03,-0.457
1.63664E+12,2021-11-11T15.04.30.029,7.68,1.402,-1.159,-1.006
