epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636311730129,2021-11-07T11:02:10.129,6.400,0.030,0.244,-0.305
1636311730169,2021-11-07T11:02:10.169,6.440,-0.305,0.305,-0.213
1636311730209,2021-11-07T11:02:10.209,6.480,-0.701,0.183,-0.335
1636311730249,2021-11-07T11:02:10.249,6.520,-0.335,0.122,-0.244
1636311730289,2021-11-07T11:02:10.289,6.560,-0.366,0.152,-0.396
1636311730329,2021-11-07T11:02:10.329,6.600,-0.396,0.061,-0.488
1636311730369,2021-11-07T11:02:10.369,6.640,0.091,0.091,-0.427
1636311730409,2021-11-07T11:02:10.409,6.680,0.030,0.061,-0.396
1636311730449,2021-11-07T11:02:10.449,6.720,0.061,0.274,-0.396
1636311730489,2021-11-07T11:02:10.489,6.760,0.457,0.396,-0.305
1636311730529,2021-11-07T11:02:10.529,6.800,0.732,0.152,-0.274
1636311730569,2021-11-07T11:02:10.569,6.840,0.762,0.152,-0.244
1636311730609,2021-11-07T11:02:10.609,6.880,0.396,0.396,-0.244
1636311730649,2021-11-07T11:02:10.649,6.920,0.030,0.366,-0.427
1636311730689,2021-11-07T11:02:10.689,6.960,0.518,0.183,-0.457
1636311730729,2021-11-07T11:02:10.729,7.000,0.427,0.244,-0.457
1636311730769,2021-11-07T11:02:10.769,7.040,0.152,0.305,-0.396
1636311730809,2021-11-07T11:02:10.809,7.080,0.335,0.335,-0.427
1636311730849,2021-11-07T11:02:10.849,7.120,1.067,0.183,-0.335
1636311730889,2021-11-07T11:02:10.889,7.160,2.287,0.396,-0.427
1636311730929,2021-11-07T11:02:10.929,7.200,-0.457,-0.762,-1.616
1636311730969,2021-11-07T11:02:10.969,7.240,0.274,-0.640,-2.683
1636311731009,2021-11-07T11:02:11.009,7.280,3.140,0.549,-2.043
1636311731049,2021-11-07T11:02:11.049,7.320,3.201,0.945,-0.549
1636311731089,2021-11-07T11:02:11.089,7.360,0.335,0.457,-0.396
1636311731129,2021-11-07T11:02:11.129,7.400,1.189,1.280,-0.427
1636311731169,2021-11-07T11:02:11.169,7.440,-0.091,0.793,-0.305
1636311731209,2021-11-07T11:02:11.209,7.480,0.762,0.610,-0.396
1636311731249,2021-11-07T11:02:11.249,7.520,1.311,0.732,-0.396
1636311731289,2021-11-07T11:02:11.289,7.560,-0.579,0.579,-0.457
1636311731329,2021-11-07T11:02:11.329,7.600,0.213,0.488,-0.427
1636311731369,2021-11-07T11:02:11.369,7.640,1.220,0.640,-0.244
1636311731409,2021-11-07T11:02:11.409,7.680,-1.280,0.488,-0.366
1636311731449,2021-11-07T11:02:11.449,7.720,-0.122,0.366,-0.366
1636311731489,2021-11-07T11:02:11.489,7.760,0.762,0.427,-0.213
1636311731529,2021-11-07T11:02:11.529,7.800,-0.976,0.274,-0.183
1636311731569,2021-11-07T11:02:11.569,7.840,-1.280,0.366,-0.244
1636311731609,2021-11-07T11:02:11.609,7.880,-2.896,0.152,-0.366
1636311731649,2021-11-07T11:02:11.649,7.920,-2.896,0.152,-0.335
1636311731689,2021-11-07T11:02:11.689,7.960,-1.189,0.396,-0.366
1636311731729,2021-11-07T11:02:11.729,8.000,-0.091,0.274,-0.457
1636311731769,2021-11-07T11:02:11.769,8.040,0.152,0.183,-0.305
1636311731809,2021-11-07T11:02:11.809,8.080,0.244,0.122,-0.335
1636311731849,2021-11-07T11:02:11.849,8.120,0.305,0.061,-0.366
1636311731889,2021-11-07T11:02:11.889,8.160,0.305,0.183,-0.427
1636311731929,2021-11-07T11:02:11.929,8.200,0.366,0.305,-0.640
1636311731969,2021-11-07T11:02:11.969,8.240,-0.061,0.274,-0.549
1636311732009,2021-11-07T11:02:12.009,8.280,-0.396,0.488,-0.457
1636311732049,2021-11-07T11:02:12.049,8.320,-1.463,0.701,-0.457
1636311732089,2021-11-07T11:02:12.089,8.360,-2.073,0.884,-0.061
1636311732129,2021-11-07T11:02:12.129,8.400,-4.268,1.524,0.061
1636311732169,2021-11-07T11:02:12.169,8.440,-3.171,1.311,0.030
1636311732209,2021-11-07T11:02:12.209,8.480,-0.091,0.762,-0.183
1636311732249,2021-11-07T11:02:12.249,8.520,1.037,0.183,-0.549
1636311732289,2021-11-07T11:02:12.289,8.560,1.951,0.305,-0.732
1636311732329,2021-11-07T11:02:12.329,8.600,2.470,1.067,-0.671
1636311732369,2021-11-07T11:02:12.369,8.640,1.220,0.701,-0.427
1636311732409,2021-11-07T11:02:12.409,8.680,-2.591,0.183,0.152
1636311732449,2021-11-07T11:02:12.449,8.720,-3.841,0.305,-0.030
1636311732489,2021-11-07T11:02:12.489,8.760,-1.829,1.220,-1.006
1636311732529,2021-11-07T11:02:12.529,8.800,2.226,1.311,-1.738
1636311732569,2021-11-07T11:02:12.569,8.840,3.720,1.860,-1.250
1636311732609,2021-11-07T11:02:12.609,8.880,4.360,2.530,-1.220
1636311732649,2021-11-07T11:02:12.649,8.920,3.841,3.354,-1.250
1636311732689,2021-11-07T11:02:12.689,8.960,3.018,3.079,-0.945
1636311732729,2021-11-07T11:02:12.729,9.000,2.317,4.604,-1.159
1636311732769,2021-11-07T11:02:12.769,9.040,0.915,6.616,-1.524
1636311732809,2021-11-07T11:02:12.809,9.080,-1.707,3.354,-1.037
1636311732849,2021-11-07T11:02:12.849,9.120,-1.341,1.006,-0.183
1636311732889,2021-11-07T11:02:12.889,9.160,1.860,0.610,-0.122
