epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636388994652,2021-11-08T18:29:54.652,8.560,0.116,-0.083,-0.993
1636388994692,2021-11-08T18:29:54.692,8.600,0.115,-0.092,-0.991
1636388994732,2021-11-08T18:29:54.732,8.640,0.118,-0.087,-0.989
1636388994772,2021-11-08T18:29:54.772,8.680,0.118,-0.091,-0.987
1636388994812,2021-11-08T18:29:54.812,8.720,0.120,-0.091,-0.992
1636388994852,2021-11-08T18:29:54.852,8.760,0.119,-0.087,-0.993
1636388994892,2021-11-08T18:29:54.892,8.800,0.118,-0.092,-0.988
1636388994932,2021-11-08T18:29:54.932,8.840,0.116,-0.089,-0.994
1636388994972,2021-11-08T18:29:54.972,8.880,0.115,-0.089,-0.993
1636388995012,2021-11-08T18:29:55.012,8.920,0.115,-0.091,-0.988
1636388995052,2021-11-08T18:29:55.052,8.960,0.118,-0.090,-0.991
1636388995092,2021-11-08T18:29:55.092,9.000,0.119,-0.088,-0.992
1636388995132,2021-11-08T18:29:55.132,9.040,0.115,-0.089,-0.991
1636388995172,2021-11-08T18:29:55.172,9.080,0.117,-0.095,-0.992
1636388995212,2021-11-08T18:29:55.212,9.120,0.117,-0.087,-0.990
1636388995252,2021-11-08T18:29:55.252,9.160,0.114,-0.089,-0.990
1636388995292,2021-11-08T18:29:55.292,9.200,0.117,-0.091,-0.993
1636388995332,2021-11-08T18:29:55.332,9.240,0.116,-0.077,-0.991
1636388995372,2021-11-08T18:29:55.372,9.280,0.113,-0.089,-0.986
1636388995412,2021-11-08T18:29:55.412,9.320,0.118,-0.093,-0.995
1636388995452,2021-11-08T18:29:55.452,9.360,0.117,-0.087,-0.993
1636388995492,2021-11-08T18:29:55.492,9.400,0.116,-0.096,-0.987
1636388995532,2021-11-08T18:29:55.532,9.440,0.118,-0.086,-0.991
1636388995572,2021-11-08T18:29:55.572,9.480,0.114,-0.088,-0.989
1636388995612,2021-11-08T18:29:55.612,9.520,0.115,-0.080,-0.991
1636388995652,2021-11-08T18:29:55.652,9.560,0.114,-0.073,-0.991
1636388995692,2021-11-08T18:29:55.692,9.600,0.113,-0.099,-0.990
1636388995732,2021-11-08T18:29:55.732,9.640,0.116,-0.084,-0.994
1636388995772,2021-11-08T18:29:55.772,9.680,0.119,-0.084,-0.991
1636388995812,2021-11-08T18:29:55.812,9.720,0.119,-0.088,-0.990
1636388995852,2021-11-08T18:29:55.852,9.760,0.120,-0.086,-0.990
1636388995892,2021-11-08T18:29:55.892,9.800,0.116,-0.087,-0.991
1636388995932,2021-11-08T18:29:55.932,9.840,0.114,-0.084,-0.990
1636388995972,2021-11-08T18:29:55.972,9.880,0.113,-0.081,-0.988
1636388996012,2021-11-08T18:29:56.012,9.920,0.113,-0.087,-0.991
1636388996052,2021-11-08T18:29:56.052,9.960,0.116,-0.089,-0.991
1636388996092,2021-11-08T18:29:56.092,10.000,0.115,-0.086,-0.991
1636388996132,2021-11-08T18:29:56.132,10.040,0.120,-0.091,-0.994
1636388996172,2021-11-08T18:29:56.172,10.080,0.120,-0.081,-0.992
1636388996212,2021-11-08T18:29:56.212,10.120,0.112,-0.083,-0.986
1636388996252,2021-11-08T18:29:56.252,10.160,0.113,-0.086,-0.990
1636388996292,2021-11-08T18:29:56.292,10.200,0.115,-0.089,-0.993
1636388996332,2021-11-08T18:29:56.332,10.240,0.118,-0.089,-0.994
1636388996372,2021-11-08T18:29:56.372,10.280,0.119,-0.083,-0.991
1636388996412,2021-11-08T18:29:56.412,10.320,0.114,-0.088,-0.988
1636388996452,2021-11-08T18:29:56.452,10.360,0.114,-0.088,-0.992
1636388996492,2021-11-08T18:29:56.492,10.400,0.117,-0.085,-0.992
1636388996532,2021-11-08T18:29:56.532,10.440,0.116,-0.088,-0.993
1636388996572,2021-11-08T18:29:56.572,10.480,0.116,-0.096,-0.990
1636388996612,2021-11-08T18:29:56.612,10.520,0.117,-0.089,-0.989
1636388996652,2021-11-08T18:29:56.652,10.560,0.116,-0.087,-0.989
1636388996692,2021-11-08T18:29:56.692,10.600,0.114,-0.093,-0.991
1636388996732,2021-11-08T18:29:56.732,10.640,0.115,-0.091,-0.992
1636388996772,2021-11-08T18:29:56.772,10.680,0.116,-0.088,-0.993
1636388996812,2021-11-08T18:29:56.812,10.720,0.117,-0.093,-0.988
1636388996852,2021-11-08T18:29:56.852,10.760,0.117,-0.092,-0.991
1636388996892,2021-11-08T18:29:56.892,10.800,0.115,-0.089,-0.990
1636388996932,2021-11-08T18:29:56.932,10.840,0.117,-0.091,-0.990
1636388996972,2021-11-08T18:29:56.972,10.880,0.114,-0.091,-0.993
1636388997012,2021-11-08T18:29:57.012,10.920,0.116,-0.087,-0.991
1636388997052,2021-11-08T18:29:57.052,10.960,0.115,-0.089,-0.990
1636388997092,2021-11-08T18:29:57.092,11.000,0.118,-0.090,-0.992
1636388997132,2021-11-08T18:29:57.132,11.040,0.117,-0.092,-0.991
1636388997172,2021-11-08T18:29:57.172,11.080,0.116,-0.088,-0.990
1636388997212,2021-11-08T18:29:57.212,11.120,0.115,-0.088,-0.991
1636388997252,2021-11-08T18:29:57.252,11.160,0.114,-0.091,-0.991
1636388997292,2021-11-08T18:29:57.292,11.200,0.118,-0.088,-0.990
1636388997332,2021-11-08T18:29:57.332,11.240,0.115,-0.094,-0.990
1636388997372,2021-11-08T18:29:57.372,11.280,0.116,-0.089,-0.991
1636388997412,2021-11-08T18:29:57.412,11.320,0.116,-0.089,-0.989
1636388997452,2021-11-08T18:29:57.452,11.360,0.115,-0.091,-0.992
1636388997492,2021-11-08T18:29:57.492,11.400,0.115,-0.088,-0.993
1636388997532,2021-11-08T18:29:57.532,11.440,0.115,-0.091,-0.988
1636388997572,2021-11-08T18:29:57.572,11.480,0.117,-0.088,-0.988
1636388997612,2021-11-08T18:29:57.612,11.520,0.116,-0.090,-0.991
1636388997652,2021-11-08T18:29:57.652,11.560,0.115,-0.095,-0.992
1636388997692,2021-11-08T18:29:57.692,11.600,0.116,-0.093,-0.991
1636388997732,2021-11-08T18:29:57.732,11.640,0.116,-0.087,-0.989
1636388997772,2021-11-08T18:29:57.772,11.680,0.116,-0.086,-0.989
1636388997812,2021-11-08T18:29:57.812,11.720,0.115,-0.090,-0.992
1636388997852,2021-11-08T18:29:57.852,11.760,0.116,-0.093,-0.992
1636388997892,2021-11-08T18:29:57.892,11.800,0.116,-0.091,-0.991
1636388997932,2021-11-08T18:29:57.932,11.840,0.115,-0.091,-0.990
1636388997972,2021-11-08T18:29:57.972,11.880,0.115,-0.090,-0.989
1636388998012,2021-11-08T18:29:58.012,11.920,0.115,-0.091,-0.990
1636388998052,2021-11-08T18:29:58.052,11.960,0.115,-0.091,-0.992
1636388998092,2021-11-08T18:29:58.092,12.000,0.114,-0.092,-0.990
1636388998132,2021-11-08T18:29:58.132,12.040,0.116,-0.091,-0.991
1636388998172,2021-11-08T18:29:58.172,12.080,0.116,-0.091,-0.990
1636388998212,2021-11-08T18:29:58.212,12.120,0.115,-0.093,-0.990
1636388998252,2021-11-08T18:29:58.252,12.160,0.115,-0.091,-0.991
1636388998292,2021-11-08T18:29:58.292,12.200,0.116,-0.090,-0.990
1636388998332,2021-11-08T18:29:58.332,12.240,0.115,-0.089,-0.990
1636388998372,2021-11-08T18:29:58.372,12.280,0.112,-0.093,-0.992
1636388998412,2021-11-08T18:29:58.412,12.320,0.115,-0.090,-0.990
1636388998452,2021-11-08T18:29:58.452,12.360,0.115,-0.090,-0.991
1636388998492,2021-11-08T18:29:58.492,12.400,0.114,-0.093,-0.990
1636388998532,2021-11-08T18:29:58.532,12.440,0.116,-0.094,-0.990
1636388998572,2021-11-08T18:29:58.572,12.480,0.116,-0.092,-0.991
1636388998612,2021-11-08T18:29:58.612,12.520,0.114,-0.094,-0.991
1636388998652,2021-11-08T18:29:58.652,12.560,0.114,-0.089,-0.990
1636388998692,2021-11-08T18:29:58.692,12.600,0.114,-0.089,-0.992
1636388998732,2021-11-08T18:29:58.732,12.640,0.115,-0.091,-0.990
1636388998772,2021-11-08T18:29:58.772,12.680,0.114,-0.093,-0.990
1636388998812,2021-11-08T18:29:58.812,12.720,0.116,-0.091,-0.989
1636388998852,2021-11-08T18:29:58.852,12.760,0.116,-0.094,-0.991
1636388998892,2021-11-08T18:29:58.892,12.800,0.115,-0.093,-0.992
1636388998932,2021-11-08T18:29:58.932,12.840,0.115,-0.092,-0.991
